,60,120,600,1200
1,0.002029,0.011315,1.386517,12.952647
4,0.001856,0.004893,0.369811,3.08285
9,0.001903,0.006978,0.306166,2.407306
16,0.002195,0.010377,0.340526,2.398621
25,0.004145,0.010742,0.333308,2.51717
