,60,120,600,1200
1,0.001903,0.008513,1.013397,8.980763
4,0.001135,0.008651,1.078677,9.574579
9,0.001127,0.008662,1.08134,9.558045
16,0.00111,0.00866,1.087458,10.060941
25,0.00114,0.008702,1.078905,9.648609
