,60,120,600,1200
1,0.001477,0.011343,1.364885,11.684697
4,0.00128,0.004862,0.365571,2.991785
9,0.002074,0.005679,0.303925,2.399431
16,0.002596,0.007449,0.313216,2.453337
25,0.003056,0.013642,0.421432,2.679714
