,60,120,600,1200
1,0.001668,0.010546,1.268256,10.817976
4,0.002253,0.006703,0.34177,2.719084
9,0.001903,0.007505,0.298676,2.215486
16,0.002656,0.010221,0.292442,2.179299
25,0.004783,0.014874,0.296975,2.230584
